epoch,step,train_loss,lr,val_calorie_mae,val_calorie_mae_pct
1,86,3.237717,0.00010116,252.3762,98.7901
2,172,2.692733,0.00020116,241.8208,94.6583
3,258,2.298219,0.00030000,221.7720,86.8104
4,344,1.955178,0.00029977,186.2542,72.9073
5,430,1.627878,0.00029909,165.2415,64.6821
6,516,1.350846,0.00029795,127.2197,49.7989
7,602,1.133554,0.00029637,114.6648,44.8844
8,688,1.049548,0.00029434,101.1965,39.6123
9,774,0.985219,0.00029187,97.7437,38.2608
10,860,0.981127,0.00028897,105.0466,41.1194
11,946,0.903264,0.00028565,99.0170,38.7592
12,1032,0.906080,0.00028192,88.6813,34.7134
13,1118,0.841817,0.00027779,95.9430,37.5559
14,1204,0.799050,0.00027327,89.3650,34.9810
15,1290,0.765897,0.00026837,89.5713,35.0618
16,1376,0.735890,0.00026312,87.8583,34.3913
17,1462,0.715368,0.00025752,84.5678,33.1032
18,1548,0.668810,0.00025159,90.7465,35.5218
19,1634,0.624614,0.00024536,86.9274,34.0268
20,1720,0.599574,0.00023884,81.8393,32.0352
21,1806,0.582802,0.00023204,93.9922,36.7923
22,1892,0.532623,0.00022500,81.5442,31.9197
23,1978,0.504796,0.00021773,86.9535,34.0371
24,2064,0.491048,0.00021025,82.1665,32.1633
25,2150,0.459960,0.00020260,85.7387,33.5615
26,2236,0.450755,0.00019478,82.4487,32.2737
27,2322,0.415901,0.00018682,82.4324,32.2673
28,2408,0.390911,0.00017876,83.4229,32.6551
29,2494,0.369580,0.00017060,80.5016,31.5116
30,2580,0.351293,0.00016239,83.0878,32.5239
31,2666,0.335796,0.00015413,83.0378,32.5043
32,2752,0.317994,0.00014587,78.1838,30.6043
33,2838,0.306895,0.00013761,78.7183,30.8135
34,2924,0.294712,0.00012940,77.4848,30.3306
35,3010,0.278174,0.00012124,78.7182,30.8134
36,3096,0.261568,0.00011318,79.5142,31.1250
37,3182,0.247471,0.00010522,77.5592,30.3598
38,3268,0.237592,0.00009740,78.7855,30.8398
39,3354,0.226501,0.00008975,77.2535,30.2401
40,3440,0.224334,0.00008227,78.1414,30.5877
41,3526,0.206204,0.00007500,78.2617,30.6347
42,3612,0.200390,0.00006796,79.9253,31.2860
43,3698,0.190181,0.00006116,76.8336,30.0757
44,3784,0.185911,0.00005464,77.0428,30.1576
45,3870,0.178920,0.00004841,76.8397,30.0781
46,3956,0.171713,0.00004248,78.9756,30.9142
47,4042,0.166106,0.00003688,76.1503,29.8083
48,4128,0.163159,0.00003163,75.5396,29.5692
49,4214,0.158263,0.00002673,76.7374,30.0381
50,4300,0.153353,0.00002221,77.1812,30.2118
51,4386,0.150817,0.00001808,76.4175,29.9129
52,4472,0.147785,0.00001435,77.1863,30.2138
53,4558,0.145142,0.00001103,78.1869,30.6055
54,4644,0.143984,0.00000813,77.4848,30.3306
55,4730,0.141333,0.00000566,76.3378,29.8817
56,4816,0.140223,0.00000363,77.0785,30.1716
57,4902,0.138613,0.00000205,77.1432,30.1969
58,4988,0.137448,0.00000091,77.3392,30.2737
