epoch,step,train_loss,lr,val_calorie_mae,val_calorie_mae_pct
1,86,3.234170,0.00010116,252.0643,98.6680
2,172,2.682908,0.00020116,240.5682,94.1680
3,258,2.288562,0.00030000,214.9216,84.1289
4,344,1.946134,0.00029977,185.1277,72.4664
5,430,1.592456,0.00029909,156.2798,61.1741
6,516,1.322249,0.00029795,121.8433,47.6943
7,602,1.187751,0.00029637,105.1653,41.1659
8,688,1.060930,0.00029434,113.7482,44.5256
9,774,1.010205,0.00029187,94.9010,37.1480
10,860,0.961758,0.00028897,100.1100,39.1871
11,946,0.908966,0.00028565,88.3225,34.5729
12,1032,0.859718,0.00028192,94.6303,37.0421
13,1118,0.841631,0.00027779,91.6589,35.8790
14,1204,0.815827,0.00027327,91.3291,35.7499
15,1290,0.784531,0.00026837,102.1459,39.9840
16,1376,0.741768,0.00026312,84.1615,32.9442
17,1462,0.718935,0.00025752,81.4090,31.8667
18,1548,0.673754,0.00025159,82.5375,32.3085
19,1634,0.643712,0.00024536,84.0158,32.8871
20,1720,0.611305,0.00023884,86.0723,33.6921
21,1806,0.581754,0.00023204,83.6496,32.7438
22,1892,0.568486,0.00022500,88.9318,34.8114
23,1978,0.534234,0.00021773,78.4330,30.7018
24,2064,0.511165,0.00021025,82.0230,32.1071
25,2150,0.486870,0.00020260,81.0138,31.7120
26,2236,0.473658,0.00019478,81.6448,31.9590
27,2322,0.438760,0.00018682,78.4828,30.7213
28,2408,0.411982,0.00017876,77.4841,30.3304
29,2494,0.392711,0.00017060,75.4597,29.5379
30,2580,0.374009,0.00016239,78.8794,30.8766
31,2666,0.362822,0.00015413,79.6806,31.1902
32,2752,0.343457,0.00014587,76.1890,29.8234
33,2838,0.325011,0.00013761,79.3706,31.0688
34,2924,0.306799,0.00012940,74.9773,29.3491
35,3010,0.289183,0.00012124,73.6763,28.8398
36,3096,0.278725,0.00011318,73.4446,28.7491
37,3182,0.270133,0.00010522,76.4457,29.9239
38,3268,0.260011,0.00009740,74.3142,29.0895
39,3354,0.242386,0.00008975,75.1882,29.4317
40,3440,0.236682,0.00008227,76.7612,30.0474
41,3526,0.227255,0.00007500,76.5868,29.9791
42,3612,0.219353,0.00006796,76.7021,30.0243
43,3698,0.209052,0.00006116,76.0278,29.7603
44,3784,0.200575,0.00005464,74.8163,29.2861
45,3870,0.193313,0.00004841,76.9047,30.1036
46,3956,0.186763,0.00004248,77.3633,30.2831
