epoch,step,train_loss,lr,val_calorie_mae,val_calorie_mae_pct
1,86,3.179169,0.00010116,252.0072,98.6457
2,172,2.621164,0.00020116,239.8886,93.9020
3,258,2.234178,0.00030000,215.5568,84.3775
4,344,1.902840,0.00029977,178.6518,69.9314
5,430,1.537771,0.00029909,151.4703,59.2915
6,516,1.240487,0.00029795,115.5367,45.2257
7,602,1.056894,0.00029637,103.0599,40.3418
8,688,0.977784,0.00029434,96.8957,37.9288
9,774,0.941737,0.00029187,97.3149,38.0929
10,860,0.898089,0.00028897,94.4267,36.9624
11,946,0.855216,0.00028565,96.9543,37.9518
12,1032,0.825616,0.00028192,99.0609,38.7764
13,1118,0.797330,0.00027779,98.5509,38.5768
14,1204,0.746522,0.00027327,94.0585,36.8183
15,1290,0.721574,0.00026837,91.5553,35.8384
16,1376,0.698655,0.00026312,86.5689,33.8865
17,1462,0.678208,0.00025752,86.6396,33.9142
18,1548,0.633162,0.00025159,92.2814,36.1226
19,1634,0.595121,0.00024536,84.4895,33.0726
20,1720,0.562584,0.00023884,85.7735,33.5752
21,1806,0.532389,0.00023204,84.5772,33.1069
22,1892,0.497913,0.00022500,82.2404,32.1922
23,1978,0.473663,0.00021773,85.3696,33.4171
24,2064,0.445519,0.00021025,93.7479,36.6967
25,2150,0.418230,0.00020260,87.0548,34.0767
26,2236,0.398133,0.00019478,85.8363,33.5997
27,2322,0.380190,0.00018682,79.2464,31.0202
28,2408,0.350100,0.00017876,83.0746,32.5187
29,2494,0.339445,0.00017060,83.0775,32.5199
30,2580,0.311193,0.00016239,84.8958,33.2316
31,2666,0.296350,0.00015413,81.2533,31.8058
32,2752,0.278063,0.00014587,81.4300,31.8750
33,2838,0.263069,0.00013761,79.1784,30.9936
34,2924,0.258349,0.00012940,81.2625,31.8094
35,3010,0.232766,0.00012124,83.8978,32.8410
36,3096,0.218399,0.00011318,80.7842,31.6222
37,3182,0.215140,0.00010522,79.0251,30.9336
38,3268,0.195020,0.00009740,80.2607,31.4172
39,3354,0.185016,0.00008975,81.2240,31.7943
40,3440,0.176652,0.00008227,81.9217,32.0674
41,3526,0.164168,0.00007500,81.8018,32.0205
42,3612,0.159924,0.00006796,79.9577,31.2986
43,3698,0.153031,0.00006116,82.0036,32.0995
44,3784,0.145091,0.00005464,79.5556,31.1412
45,3870,0.136507,0.00004841,82.6628,32.3575
46,3956,0.132197,0.00004248,81.8665,32.0458
47,4042,0.124695,0.00003688,80.6469,31.5684
